Application,Pointers,Void Pointers,Uninitialized Pointers,Smart Pointers,Mallocs,Frees,Implicit Casts from Malloc,Unsafe Functions,Unsafe Casts,Construct from Implicit Cast,Unions,Ref Class Members,Ref Returns,Ref Const Returns,Ref to Deref,Address of Array,2D Arrays
,1441,462,1282,6,5,5,1,9,16988,179,11,8,374,63,7,9,5
,521,92,438,1,4,4,1,4,48,20,9,6,211,36,6,2,5
,334,0,334,0,0,0,0,6,88,0,0,0,0,0,0,0,0
,303,48,270,0,2,1,1,4,30,15,5,1,152,27,0,0,0
,61,0,60,0,0,0,0,2,16,0,0,0,0,0,0,2,3
,201,0,195,0,0,2,0,3,10,0,0,0,0,0,0,44,8
,1440,461,1275,6,5,5,1,9,16985,159,12,8,379,63,7,9,5
,1431,461,1270,6,5,5,1,9,16985,156,11,8,375,69,9,9,5
,1437,463,1275,6,5,5,1,9,16985,164,11,8,374,63,7,9,5
,1474,467,1306,6,5,5,1,11,16990,190,11,10,378,64,7,10,5
,1740,493,1504,6,5,5,1,26,17042,356,19,11,401,73,8,11,5
,37,7,37,0,0,0,0,2,2,0,0,0,0,0,0,0,0
,1380,454,1221,2,5,5,1,9,17000,267,11,8,340,67,8,9,5
,699,364,699,0,1,1,0,0,16890,0,1,0,1,0,0,0,0
,606,97,491,0,4,4,1,4,81,143,10,6,254,38,6,2,5
,552,96,424,0,4,4,1,4,71,57,10,8,237,36,6,2,5
,67,19,63,0,0,0,0,0,11,4,2,0,27,12,0,0,0
,1773,509,1530,6,5,5,1,26,17044,351,19,10,420,73,8,9,5
,1440,461,1278,6,5,5,1,9,16985,178,11,8,373,63,7,9,5
,1439,461,1278,7,5,5,1,9,16985,159,11,8,374,63,7,9,5
,325,54,295,0,2,1,1,5,28,30,5,1,154,27,0,0,0
,1398,461,1241,4,5,5,1,9,16986,156,11,8,350,61,7,15,13
,346,54,310,0,2,1,1,8,29,25,5,9,162,42,0,1,11
,1586,480,1380,8,5,5,1,10,17025,246,11,12,391,65,7,12,5
,325,54,292,0,2,1,1,6,29,51,5,4,158,29,0,1,0
,463,65,395,1,2,2,1,7,46,147,6,11,190,51,0,1,11
,1670,29,1534,0,0,0,0,48,176,6,0,0,12,0,0,7,414
,2138,515,1750,9,6,6,1,33,17138,545,20,21,468,94,8,10,16
,40,13,40,0,0,2,0,8,0,8,0,0,0,0,0,0,0
,1126,425,1042,0,5,5,1,12,16928,63,10,10,281,82,8,8,11
,414,21,396,0,0,2,0,8,0,396,8,0,0,0,16,0,0
,1447,461,1283,7,5,5,1,9,16985,160,12,8,383,63,7,9,5
,2251,530,1876,19,5,6,1,36,17113,499,20,23,484,96,8,10,16
,1437,461,1273,6,5,5,1,9,16987,167,11,8,383,63,7,9,5
,67,38,59,0,0,2,0,3,3,92,0,0,9,4,1,0,0
,630,112,512,0,4,4,1,0,54,192,7,4,178,39,7,3,0
,620,104,509,0,4,4,1,23,61,141,7,9,186,48,7,1,11
,1487,504,1316,24,5,5,1,9,17556,244,14,9,410,66,7,9,5
,1714,482,1494,12,5,6,1,11,17021,211,21,16,423,78,7,12,5
,,,,,,,,,,,,,,,,,
json,32705,1147,23921,1281,0,0,0,1075,11332,164795,419,3003,38785,2934,1130,5,361
,258,19,171,0,0,0,0,14,11,506,1,5,187,5,3,3,1
,349,14,254,11,0,0,0,13,63,1655,5,27,461,28,14,0,5
,511,14,412,30,0,0,0,12,62,1006,11,44,397,29,19,0,5
,507,14,384,22,0,0,0,20,94,1633,7,40,554,57,16,0,5
,322,14,241,10,0,0,0,12,35,662,5,24,281,21,13,0,5
,381,14,269,10,0,0,0,14,56,1001,5,26,348,28,20,0,5
,839,14,673,28,0,0,0,14,364,10668,5,186,1064,67,16,0,5
,485,14,350,19,0,0,0,16,120,4007,5,68,535,33,14,0,5
,322,14,241,8,0,0,0,12,48,688,5,22,318,25,13,0,5
,331,14,248,12,0,0,0,12,48,1071,5,26,331,27,14,0,5
,600,14,435,16,0,0,0,15,340,5905,5,92,932,63,20,0,5
,354,14,257,10,0,0,0,13,54,1018,5,25,394,27,14,0,5
,353,14,256,10,0,0,0,13,60,1046,5,25,418,26,14,0,5
,353,14,266,8,0,0,0,13,43,761,5,23,302,30,13,0,5
,576,14,423,12,0,0,0,15,364,3592,5,54,581,43,14,0,5
,390,14,294,14,0,0,0,13,59,4388,5,45,455,29,14,0,5
,327,14,244,9,0,0,0,12,59,756,5,23,358,25,14,0,5
,454,14,320,35,0,0,0,14,216,3188,5,51,709,58,14,0,5
,351,14,253,13,0,0,0,13,40,984,5,28,377,24,14,0,5
,373,14,276,8,0,0,0,13,50,849,5,23,312,33,13,0,5
,446,14,316,27,0,0,0,14,304,3709,5,46,858,56,14,0,5
